2024-05-12 08:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=1 age=50 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-06-11 08:30 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=40 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=36 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=X race=UNKNOWN | COLLISION:injured=2 killed=0 factor=Failure to Yield
2024-06-11 12:40 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=61 sex=F race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Improper Turn || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=28 sex=X race=HISPANIC | COLLISION:injured=2 killed=0 factor=Traffic Control Disregarded
2024-06-11 17:30 | BOROUGH=BRONX | ZONE=CMD044 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=54 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=34 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=VAN | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=74 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Improper Turn
2024-06-12 08:50 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=56 sex=M race=UNKNOWN | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=38 sex=M race=BLACK | COLLISION:injured=3 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=42 sex=F race=BLACK | COLLISION:injured=2 killed=0 factor=Right of Way Violation
2024-06-12 12:52 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=60 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Right of Way Violation || VEH=VAN | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=18 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=74 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Unsafe Speed
2024-06-12 17:32 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=19 sex=X race=HISPANIC | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=28 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=47 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-06-13 08:35 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=73 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=58 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=73 sex=F race=BLACK | COLLISION:injured=2 killed=0 factor=Improper Turn
2024-06-13 12:30 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=52 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=66 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=40 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-06-13 17:35 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=68 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=F race=HISPANIC | COLLISION:injured=0 killed=1 factor=Failure to Yield || VEH=VAN | STOP:search=0 arrest=1 summon=1 checkpoint=1 force=0 age=19 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-06-14 08:02 | BOROUGH=QUEENS | ZONE=CMD110 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=31 sex=F race=HISPANIC | COLLISION:injured=5 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=42 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=59 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Driver Inattention
2024-06-14 12:35 | BOROUGH=BRONX | ZONE=CMD042 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=25 sex=M race=HISPANIC | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=18 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-06-14 17:48 | BOROUGH=BROOKLYN | ZONE=CMD071 | VEH=TRUCK | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=46 sex=M race=HISPANIC | COLLISION:injured=5 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=39 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Backing Unsafely
2024-06-15 08:18 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=32 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=65 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=45 sex=X race=BLACK | COLLISION:injured=2 killed=0 factor=Driver Inattention
2024-06-15 12:55 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=70 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=47 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=33 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-06-15 17:10 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=61 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=57 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=TAXI | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=49 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-06-16 08:20 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=39 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=54 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=BICYCLE | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=68 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely
2024-06-16 12:55 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=1 age=58 sex=M race=HISPANIC | COLLISION:injured=2 killed=0 factor=Following Too Closely
2024-06-16 17:22 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=24 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Backing Unsafely || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=20 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=40 sex=F race=BLACK | COLLISION:injured=2 killed=0 factor=Driver Inattention
2024-06-17 08:10 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=28 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=32 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=73 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-06-17 12:50 | BOROUGH=QUEENS | ZONE=CMD110 | VEH=BUS | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=57 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=46 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=70 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Traffic Control Disregarded
2024-06-17 17:35 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=44 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=TRUCK | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=43 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=30 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-06-18 08:28 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=39 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=58 sex=M race=HISPANIC | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=56 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Traffic Control Disregarded
2024-06-18 12:45 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=63 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Traffic Control Disregarded || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=21 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=1 force=0 age=55 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-06-18 17:15 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=62 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Right of Way Violation || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=1 force=0 age=41 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=BICYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=40 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-06-19 08:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=32 sex=F race=BLACK | COLLISION:injured=1 killed=0 factor=Traffic Control Disregarded || VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=35 sex=F race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=TAXI | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=44 sex=X race=WHITE | COLLISION:injured=3 killed=0 factor=Driver Inattention
2024-06-19 12:52 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=54 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=70 sex=X race=BLACK | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=33 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-06-19 17:10 | BOROUGH=BROOKLYN | ZONE=CMD067 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=39 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=51 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=TAXI | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=53 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Lane Change
2024-06-20 08:38 | BOROUGH=BRONX | ZONE=CMD042 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=40 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=53 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=44 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-06-20 12:18 | BOROUGH=MANHATTAN | ZONE=CMD018 | VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=40 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=41 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=F race=HISPANIC | COLLISION:injured=4 killed=0 factor=Right of Way Violation
2024-06-20 17:28 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=38 sex=F race=UNKNOWN | COLLISION:injured=3 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=66 sex=X race=UNKNOWN | COLLISION:injured=3 killed=0 factor=Failure to Yield
